unique_id,country,city,airport,phone_number,opening_time,closing_time,main_contact,state
1,Brazil,Porto Ferreira,Delta Oscar Juliett Quebec Whiskey Golf Echo Charlie Tango X-ray,774-1627,"error: invalid date ""08:00""",Puce,Ara,ACTIVE
2,Malaysia,Kuching,Juliett Golf Romeo Sierra Alfa Victor Lima Uniform Hotel Tango Yankee Zulu Oscar India X-ray Foxtrot,402-0508,"error: invalid date ""08:00""",Red,Gabrielle,ACTIVE
3,Lithuania,Varniai,Foxtrot X-ray Bravo Uniform Mike Victor Echo Alfa Papa Quebec Yankee,401-5928,"error: invalid date ""08:00""",Green,Pammie,ACTIVE
4,Ukraine,Podgortsy,Yankee Tango Lima Charlie Golf Whiskey Hotel India Juliett X-ray Bravo Kilo Uniform Quebec Zulu,387-7145,"error: invalid date ""08:00""",Violet,Carlynne,ACTIVE
5,Malta,Attard,Delta Quebec Uniform Papa Mike Whiskey India Sierra Golf Oscar X-ray Juliett Charlie Romeo Victor November Echo Kilo Tango,370-7901,"error: invalid date ""08:00""",Yellow,Jacquelin,ACTIVE
6,Colombia,Cartagena del Chairá,Juliett Charlie Golf Romeo Mike Uniform Tango Oscar Foxtrot X-ray Hotel Kilo November Delta Alfa Quebec Papa Yankee,325-2526,"error: invalid date ""08:00""",Mauv,Billi,ACTIVE
7,Kazakhstan,Lenger,Alfa Papa Delta Kilo Quebec Victor Juliett Uniform Foxtrot Charlie Mike Zulu Lima,350-5165,"error: invalid date ""08:00""",Violet,Amitie,ACTIVE
8,Ecuador,Latacunga,Delta Mike Kilo Romeo Whiskey Zulu Foxtrot Juliett Golf Bravo Alfa India Echo Hotel Yankee Quebec,627-6032,"error: invalid date ""08:00""",Maroon,Theresa,ACTIVE
9,Sweden,Skärhamn,Whiskey Lima Alfa India Zulu Sierra Foxtrot Delta Mike November Charlie Papa Quebec Bravo,302-0181,"error: invalid date ""08:00""",Khaki,Heda,ACTIVE
10,Costa Rica,Escazú,Quebec Delta Victor Mike Bravo Hotel Whiskey Alfa Charlie Kilo Sierra,957-5738,"error: invalid date ""08:00""",Goldenrod,Ida,ACTIVE
11,Portugal,Fajã de Cima,Bravo Sierra India Juliett Delta Charlie Zulu Victor Hotel Romeo Whiskey Mike Foxtrot Golf Papa X-ray,566-5866,"error: invalid date ""08:00""",Teal,Belva,ACTIVE
12,Brazil,Gravatá,Juliett Romeo Quebec Alfa Echo Oscar Whiskey Papa Foxtrot Mike,938-6411,"error: invalid date ""08:00""",Goldenrod,Muffin,ACTIVE
13,Indonesia,Dawuhan,Sierra Whiskey Oscar Mike Tango Echo Victor Uniform Zulu X-ray Charlie,065-6600,"error: invalid date ""08:00""",Aquamarine,Flo,ACTIVE
